Object property                Domain                         Range                          File                          
lchfDraftTeam                  IceHockeyPlayer                HockeyTeam                     dbpedia_2016-10.owl           
generalCouncil                 Agent                          TermOfOffice                   dbpedia_2016-10.owl           
fourthCommander                MilitaryUnit                   Person                         dbpedia_2016-10.owl           
originalStartPoint             Canal                          Place                          dbpedia_2016-10.owl           
targetSpaceStation             Spacecraft                     SpaceStation                   dbpedia_2016-10.owl           
endingTheme                    TelevisionShow                 Work                           dbpedia_2016-10.owl           
vicePrincipal                  School                         Person                         dbpedia_2016-10.owl           
prefecture                     Department                     PopulatedPlace                 dbpedia_2016-10.owl           
namedByLanguage                Place                          Place                          dbpedia_2016-10.owl           
notableStudent                 Scientist                      Person                         dbpedia_2016-10.owl           
president                      Organisation                   Person                         dbpedia_2016-10.owl           
storyEditor                    TelevisionShow                 Person                         dbpedia_2016-10.owl           
formerChoreographer            FigureSkater                   Person                         dbpedia_2016-10.owl           
relatedFunctions               Person                         List                           dbpedia_2016-10.owl           
dam                            Animal                         Animal                         dbpedia_2016-10.owl           
subsequentInfrastructure       Infrastructure                 Infrastructure                 dbpedia_2016-10.owl           
photographer                   TelevisionEpisode              Person                         dbpedia_2016-10.owl           
starring                       Work                           Actor                          dbpedia_2016-10.owl           
subsidiary                     Company                        Company                        dbpedia_2016-10.owl           
musicians                      Instrument                     MusicalArtist                  dbpedia_2016-10.owl           
student                        Person                         Person                         dbpedia_2016-10.owl           
viceLeaderParty                PopulatedPlace                 PoliticalParty                 dbpedia_2016-10.owl           
parliament                     Place                          Organisation                   dbpedia_2016-10.owl           
soccerLeagueWinner             SoccerLeagueSeason             SportsTeam                     dbpedia_2016-10.owl           
lastRace                       FormulaOneRacer                GrandPrix                      dbpedia_2016-10.owl           
originalLanguage               Work                           Language                       dbpedia_2016-10.owl           
makeupArtist                   Film                           Person                         dbpedia_2016-10.owl           
poleDriverTeam                 GrandPrix                      SportsTeam                     dbpedia_2016-10.owl           
agglomeration                  PopulatedPlace                 Agglomeration                  dbpedia_2016-10.owl           
branchTo                       AnatomicalStructure            AnatomicalStructure            dbpedia_2016-10.owl           
organ                          ReligiousBuilding              Organ                          dbpedia_2016-10.owl           
alpsSection                    Mountain                       MountainRange                  dbpedia_2016-10.owl           
relation                       Person                         Person                         dbpedia_2016-10.owl           
laurenceOlivierAward           Actor                          Award                          dbpedia_2016-10.owl           
foundationPlace                Organisation                   City                           dbpedia_2016-10.owl           
superTribus                    Species                        Species                        dbpedia_2016-10.owl           
march                          MilitaryUnit                   MusicalWork                    dbpedia_2016-10.owl           
usedInWar                      Weapon                         MilitaryConflict               dbpedia_2016-10.owl           
distributingLabel              RecordLabel                    RecordLabel                    dbpedia_2016-10.owl           
championInSingle               SportsEvent                    Athlete                        dbpedia_2016-10.owl           
aircraftUser                   Aircraft                       Organisation                   dbpedia_2016-10.owl           
animator                       Cartoon                        Agent                          dbpedia_2016-10.owl           
ideology                       Agent                          Ideology                       dbpedia_2016-10.owl           
aircraftBomber                 MilitaryUnit                   MeanOfTransportation           dbpedia_2016-10.owl           
formerPartner                  FigureSkater                   Person                         dbpedia_2016-10.owl           
endPoint                       Canal                          Place                          dbpedia_2016-10.owl           
enshrinedDeity                 Shrine                         Deity                          dbpedia_2016-10.owl           
relatedMeanOfTransportation    MeanOfTransportation           MeanOfTransportation           dbpedia_2016-10.owl           
poleDriver                     GrandPrix                      Person                         dbpedia_2016-10.owl           
lowestRegion                   Island                         PopulatedPlace                 dbpedia_2016-10.owl           
sheading                       PopulatedPlace                 PopulatedPlace                 dbpedia_2016-10.owl           
aircraftInterceptor            MilitaryUnit                   MeanOfTransportation           dbpedia_2016-10.owl           
border                         Island                         PopulatedPlace                 dbpedia_2016-10.owl           
unesco                         Place                          PopulatedPlace                 dbpedia_2016-10.owl           
lake                           Place                          BodyOfWater                    dbpedia_2016-10.owl           
writer                         Work                           Person                         dbpedia_2016-10.owl           
doctoralAdvisor                Scientist                      Person                         dbpedia_2016-10.owl           
thirdDriverCountry             GrandPrix                      Country                        dbpedia_2016-10.owl           
land                           Place                          Place                          dbpedia_2016-10.owl           
majorIsland                    Island                         Island                         dbpedia_2016-10.owl           
championInDoubleFemale         SportsEvent                    Athlete                        dbpedia_2016-10.owl           
regionServed                   Organisation                   Place                          dbpedia_2016-10.owl           
previousEvent                  Event                          Event                          dbpedia_2016-10.owl           
capitalCountry                 Island                         Country                        dbpedia_2016-10.owl           
affiliation                    Organisation                   Organisation                   dbpedia_2016-10.owl           
openingTheme                   TelevisionShow                 Work                           dbpedia_2016-10.owl           
principalEngineer              Canal                          Person                         dbpedia_2016-10.owl           
damsire                        Animal                         Animal                         dbpedia_2016-10.owl           
capitalRegion                  Island                         PopulatedPlace                 dbpedia_2016-10.owl           
participatingIn                MemberResistanceMovement       SocietalEvent                  dbpedia_2016-10.owl           
disciple                       Artist                         Artist                         dbpedia_2016-10.owl           
thirdTeam                      GrandPrix                      SportsTeam                     dbpedia_2016-10.owl           
olivierAward                   Comedian                       Award                          dbpedia_2016-10.owl           
alpsGroup                      Mountain                       MountainRange                  dbpedia_2016-10.owl           
tenant                         ArchitecturalStructure         Organisation                   dbpedia_2016-10.owl           
tonyAward                      Artist                         Award                          dbpedia_2016-10.owl           
sea                            Place                          Sea                            dbpedia_2016-10.owl           
currentMember                  SportsTeam                     Person                         dbpedia_2016-10.owl           
projectCoordinator             ResearchProject                Organisation                   dbpedia_2016-10.owl           
radio                          Person                         RadioStation                   dbpedia_2016-10.owl           
originalEndPoint               Canal                          Place                          dbpedia_2016-10.owl           
militaryBranch                 MilitaryPerson                 MilitaryUnit                   dbpedia_2016-10.owl           
significantBuilding            Architect                      Building                       dbpedia_2016-10.owl           
usingCountry                   Currency                       Country                        dbpedia_2016-10.owl           
routeJunction                  RouteOfTransportation          RouteOfTransportation          dbpedia_2016-10.owl           
provost                        University                     Person                         dbpedia_2016-10.owl           
project                        Person                         Project                        dbpedia_2016-10.owl           
familyMember                   Family                         Person                         dbpedia_2016-10.owl           
world                          Person                         Concept                        dbpedia_2016-10.owl           
governmentMountain             Island                         Mountain                       dbpedia_2016-10.owl           
subregion                      Place                          Place                          dbpedia_2016-10.owl           
unitaryAuthority               PopulatedPlace                 PopulatedPlace                 dbpedia_2016-10.owl           
cesarAward                     Artist                         Award                          dbpedia_2016-10.owl           
mouthPlace                     River                          PopulatedPlace                 dbpedia_2016-10.owl           
leaderName                     PopulatedPlace                 Person                         dbpedia_2016-10.owl           
